soup_name,difficulty,ingredients,cook_time_minutes,instructions,source
ABC Soup,Easy,"2 carrots, 2 potatoes , 2 tomatoes, 1 corn , 300–400g pork ribs or chicken, 2–2.5 litres water, 1 teaspoon salt ",120,"1) Prepare ingredients: peel and cut carrots and potatoes into chunks; cut tomatoes into wedges; cut corn into sections. 2) If using pork ribs: rinse, then blanch in boiling water 3–5 minutes to remove scum; if using chicken: blanch briefly 2–3 minutes. 3) Drain and rinse meat under running water until clean. 4) Put cleaned meat into a soup pot and add enough water to fully cover (add more if you want more soup). 5) Bring to a boil on high heat. 6) Skim off any foam/scum on the surface for a clearer soup. 7) Add corn, carrots, and potatoes first (they take longer). 8) Return to a boil, then immediately reduce to low heat for a gentle simmer (small bubbles only). 9) Cover with lid slightly ajar and simmer about 60–90 minutes. 10) Add tomatoes in the last 20–30 minutes so they do not fully break down. 11) Continue simmering until meat is tender and vegetables are soft. 12) Taste the soup; add salt near the end and adjust gradually. 13) Optional: skim excess oil from the top for a cleaner taste. 14) Serve hot; best eaten the same day but can be stored and reheated.",https://smellylunchbox.com/abc-soup-carrot-tomato-potato-soup/
Watercress Soup,Medium,"1 bunch watercress, 300–400g pork ribs or chicken, 2 litres water, 2 red dates (optional), 1 teaspoon salt",180,"1) Wash watercress thoroughly: separate stems, rinse multiple times to remove grit; drain. 2) Rinse pork ribs/chicken; blanch in boiling water 3–5 minutes. 3) Drain and rinse meat clean. 4) Add meat into a pot with enough water to cover; bring to a boil. 5) Skim off scum for clear soup. 6) Reduce to low heat and simmer gently (do not keep at a rolling boil). 7) Simmer 1.5–2.5 hours until broth is flavourful and meat is tender. 8) Add watercress for the last 20–30 minutes (too early can turn it overly soft). 9) Keep simmering gently until watercress releases flavour into the soup. 10) Taste and add salt only near the end. 11) Optional: add red dates/goji berries near the last 30–45 minutes for mild sweetness. 12) Serve hot.",https://thewoksoflife.com/chinese-watercress-soup-pork/
Lotus Root with Peanut Soup,Medium,"1 lotus root (about 300g), 100g peanuts, 300–400g pork ribs or chicken, 2–2.5 litres water, 1 teaspoon salt ",390,"1) Rinse peanuts; soak 20–30 minutes to soften slightly (optional but helps). 2) Scrub lotus root well; peel if needed; slice into thick rounds; rinse to remove starch. 3) Rinse pork ribs/chicken; blanch 3–5 minutes; drain and rinse clean. 4) Add cleaned meat into pot with water; bring to boil and skim scum. 5) Add peanuts and lotus root slices. 6) Bring back to a boil, then reduce to low heat for a gentle simmer. 7) Cover with lid slightly ajar and simmer 2.5–4 hours (longer simmer gives sweeter, richer broth). 8) Check water level occasionally; top up with hot water if needed. 9) When lotus root is soft and peanuts are tender, taste broth. 10) Add salt near the end and adjust gradually. 11) Serve hot.",https://ruyiasianrecipes.com/lotus-root-with-peanut-soup-recipe/
Old Cucumber Soup,Easy,"1 old cucumber, 300–400g pork ribs or chicken, 1 tablespoon dried seafood (optional), 2 litres water, 1 teaspoon salt ",90,"1) Rinse old cucumber; remove skin if thick; scoop out seeds if very mature; cut into large chunks. 2) Optional: add dried seafood (if using) by rinsing briefly to remove surface dust. 3) Rinse pork ribs/chicken; blanch 3–5 minutes; drain and rinse clean. 4) Put meat into pot with enough water; bring to boil; skim scum. 5) Add old cucumber chunks (and dried seafood if using). 6) Return to a boil, then reduce to low heat and simmer gently. 7) Cover with lid slightly ajar; simmer about 1–1.5 hours until cucumber is soft and broth is aromatic. 8) Taste and add salt near the end. 9) Serve hot",https://www.nyonyacooking.com/recipes/old-cucumber-soup~B1atVQyUX
Herbal Chicken Soup,Medium,"500g chicken pieces, 1 small pack Chinese herbs (dang gui, red dates, goji berries), 2 litres water, 1 teaspoon salt ",90,"1) Rinse herbs quickly under running water to remove dust; drain (do not soak too long unless stated). 2) Rinse chicken pieces; blanch 2–3 minutes to remove impurities; drain and rinse. 3) Add chicken to pot with water; bring to boil and skim scum. 4) Add rinsed herbs (and red dates/goji berries if included). 5) Bring to a gentle boil, then reduce to low heat. 6) Simmer gently about 1–1.5 hours (gentle simmer keeps broth clear and chicken tender). 7) Check water level and top up with hot water if needed. 8) Taste broth; add salt near the end. 9) Serve hot.",https://dailycookingquest.com/chinese-chicken-herbal-soup.html
Pig Organ Soup,Advanced,"500g pig stomach, 1 tablespoon white peppercorns (crushed), 4 cloves garlic, 1 tablespoon vinegar, 2–2.5 litres water, 1 teaspoon salt ",180,"1) Clean pig stomach thoroughly: rinse, rub with salt, rinse; rub with flour, rinse; repeat until no strong odour. 2) Turn inside out and rinse again; remove any excess fat; rinse until water runs clear. 3) Blanch pig stomach in boiling water 3–5 minutes; drain and rinse. 4) Slice into manageable pieces (or keep whole to simmer first, slice later). 5) Add pig stomach into a pot with water; add garlic and white pepper (and other aromatics if used). 6) Bring to a boil; skim scum and impurities. 7) Reduce to low heat and simmer gently 2–3 hours until tender (fork should pierce easily). 8) Add vinegar near the end (start small), then taste and adjust. 9) Season with salt near the end and adjust carefully. 10) If sliced earlier, simmer a little longer so flavour goes into broth. 11) Serve hot.",https://whattocooktoday.com/pigs-stomach-soup.html
Bak Kut Teh,Medium,"500g pork ribs, 1 whole garlic bulb, 1 bak kut teh spice pack, 2–2.5 litres water, salt (optional)",120,"1) Rinse pork ribs; blanch 3–5 minutes; drain and rinse. 2) Add ribs into pot with water; bring to boil; skim scum. 3) Add garlic and bak kut teh herbs/spice pack (according to your pack instructions). 4) Bring back to boil, then reduce to low heat for a gentle simmer. 5) Cover and simmer 1.5–2.5 hours until ribs are tender and broth is aromatic. 6) Check water level and top up with hot water if needed. 7) Taste broth; season lightly near the end (many spice packs already contain salt). 8) Serve hot.",https://delightfulplate.com/bak-kut-teh-singapore-pork-rib-soup/
Bitter Melon Soup,Medium,"1 bitter melon, 400g pork bones, 2 salted plums (optional), 2 litres water, 1 teaspoon salt ",120,1) Rinse bitter melon; slice into thick rings; remove seeds and white pith (more removal = less bitter). 2) Rinse pork bones; blanch 3–5 minutes; drain and rinse. 3) Add bones into pot with water; bring to boil; skim scum. 4) Reduce to low heat and simmer 60–90 minutes to build broth. 5) Add bitter melon (and salted plums if using). 6) Continue simmering gently 45–60 minutes until bitter melon softens and bitterness mellows. 7) Taste broth; add salt near the end and adjust gradually. 8) Serve hot.,https://thewoksoflife.com/bitter-melon-soup-pork-bones/
Salted Vegetables Tofu Soup,Easy,"100g salted vegetables, 1 block tofu, 150g pork or 2 tablespoons ikan bilis, 1.5–2 litres water",60,1) Rinse salted vegetables several times to reduce saltiness; drain well. 2) Cut tofu into cubes. 3) If using pork: rinse and blanch briefly; if using ikan bilis: rinse quickly and drain (optional). 4) Add water into pot and bring to boil. 5) Add pork (or ikan bilis) and simmer 20–30 minutes to build base flavour. 6) Add rinsed salted vegetables and simmer another 15–20 minutes. 7) Add tofu cubes near the end and simmer 5–10 minutes so tofu stays intact. 8) Taste before adding any salt (often not needed). 9) Serve hot.,https://noobcook.com/salted-vegetables-tofu-soup/
Spinach Tofu Soup,Easy,"1 bunch spinach, 1 block tofu, 2 cloves garlic, 1.5 litres water, ½ teaspoon salt",30,1) Wash spinach thoroughly; cut into shorter lengths if needed; drain. 2) Cut tofu into cubes. 3) Lightly smash or slice garlic. 4) Bring water to a boil in a pot; add garlic and simmer 2–3 minutes for aroma. 5) Add tofu and simmer 5 minutes. 6) Add spinach last and cook 1–3 minutes until just wilted (do not overcook). 7) Season lightly with salt near the end. 8) Serve immediately.,https://www.madewithlau.com/recipes/spinach-tofu-soup
